,folioviv,foliohog,tot_integ,edad_jefe,jefe_es_hombre,alimentos,gasto_mon,transporte,ing_cor,jefe_termino_sec,tiene_auto,tasa_ahorro
85349,3104137403,1,4,40,1,29257.36,90689.31,12113.49,86232.13,1,1,-0.052
85355,3104137601,1,5,27,1,11609.82,28862.38,3000.0,18131.29,1,1,-0.592
85356,3104137605,1,5,53,0,11719.1,24644.1,2400.0,59718.81,1,1,0.587
85360,3104137621,1,3,73,1,10876.94,14257.81,1457.13,35799.94,1,1,0.602
85361,3104137802,1,4,41,1,7874.77,46431.19,7913.6,86641.93,1,1,0.464
85364,3104137814,1,3,46,1,11648.35,28101.45,7604.16,35671.94,1,1,0.212
85377,3104150201,1,5,33,0,27629.73,66625.16,14022.81,128154.69,1,1,0.48
85378,3104150204,1,3,44,1,18501.24,43505.5,12759.67,57079.47,1,1,0.238
85386,3160001012,1,2,43,0,8099.87,20035.93,6834.97,24002.93,1,1,0.165
85394,3160001302,1,1,31,1,10928.55,17123.72,1248.37,22195.19,1,1,0.228
85395,3160001303,1,4,57,1,9308.4,16997.65,5978.01,26335.51,1,1,0.355
85406,3160014420,1,6,38,1,7360.55,15511.42,2721.42,12163.17,1,1,-0.275
85408,3160014422,1,3,28,1,18031.88,29141.47,7961.09,8417.88,1,1,-2.462
85410,3160014501,1,6,42,0,15171.11,21129.87,1161.29,26073.28,0,1,0.19
85418,3160014609,1,1,21,1,14978.37,16478.37,1500.0,25272.63,1,1,0.348
85431,3160021016,1,11,53,1,17138.18,46006.23,12412.65,85529.94,1,1,0.462
85445,3160021308,1,3,47,1,14251.89,23246.9,2093.13,47270.12,1,1,0.508
85461,3160023614,1,6,34,1,10979.78,26909.33,3785.64,34082.28,1,1,0.21
85477,3160043304,1,6,65,1,36874.05,131019.15,30852.97,355364.54,1,1,0.631
85478,3160043308,1,6,79,0,19915.57,36664.43,4931.28,35460.02,1,1,-0.034
85479,3160043312,1,5,50,1,11584.22,38967.15,7338.99,115269.69,1,1,0.662
85480,3160043316,1,2,45,0,8286.35,20481.17,9301.19,21687.05,1,1,0.056
85481,3160043320,1,2,43,0,34906.93,57497.44,3377.19,31418.08,1,1,-0.83
85482,3160043402,1,7,51,1,9809.81,30337.27,5617.4,22704.45,1,1,-0.336
85488,3160043801,1,5,47,0,23065.45,45225.01,6440.16,56460.2,1,1,0.199
85501,3160051009,1,2,65,1,2481.4,13518.68,5974.83,16768.0,1,1,0.194
85502,3160051013,1,3,63,1,9977.06,39773.48,7176.67,87556.98,1,1,0.546
85505,3160051202,1,3,53,0,6503.08,24704.19,7307.26,46620.59,1,1,0.47
85507,3160051210,1,3,70,1,6601.99,14816.8,3367.73,18345.23,1,1,0.192
85508,3160051214,1,5,54,1,35475.01,166730.95,28198.98,321772.39,1,1,0.482
85515,3160051524,1,2,32,0,17173.21,43162.33,10522.25,105516.34,1,1,0.591
85520,3160051719,1,4,51,1,9372.73,16082.43,3985.7,42518.84,1,1,0.622
85552,3160069613,1,1,54,1,5843.45,14588.98,5474.49,26805.88,1,1,0.456
85556,3160069806,1,5,49,0,25746.18,76220.31,22397.44,168613.5,1,1,0.548
85557,3160069810,1,1,51,1,8639.97,41175.06,16391.08,50800.24,1,1,0.189
85572,3160072207,1,2,62,1,6055.67,35288.57,12631.15,88005.44,1,1,0.599
85578,3160072305,1,2,45,0,11375.78,17598.94,0.0,15111.79,1,1,-0.165
85580,3160072313,1,5,43,1,12194.78,22747.29,6604.18,27299.3,1,1,0.167
85598,3160075605,1,6,34,1,28206.99,43125.89,5274.23,33885.2,1,1,-0.273
85599,3160075606,1,2,52,1,3689.88,10378.6,3793.03,22460.9,1,1,0.538
85634,3160094015,1,3,24,1,10414.21,14969.28,1016.12,27335.85,1,1,0.452
85640,3160094220,1,3,53,1,6261.31,9555.24,0.0,12677.98,1,1,0.246
85648,3160094913,1,1,43,1,17459.87,31790.43,5875.75,27983.62,1,1,-0.136
85672,3160118811,1,4,48,1,37208.2,261716.46,138026.05,173980.29,1,1,-0.504
85681,3160123017,1,3,75,1,4319.87,11618.69,1580.7,31406.88,1,1,0.63
85709,3160128703,1,5,34,1,3467.45,40096.08,27351.63,62951.92,1,1,0.363
85717,3160128823,1,4,45,1,5252.0,14740.73,3000.0,12214.83,1,1,-0.207
